currentWeekPosition,previousWeekPosition,peakPosition,Total Weeks,titleArtist,entryDate,entryPosition,,,Song Title,Artist,
69,60,44,21,You Say                                                     LAUREN DAIGLE,2018-07-28,53,44,24,You Say, LAUREN DAIGLE,
70,NEW,70,1,Championships                                               MEEK MILL,2018-12-15,70,70,1,Championships, MEEK MILL,
71,56,48,10,Lost In Japan                                               SHAWN MENDES x ZEDD,2018-10-13,99,48,13,Lost In Japan, SHAWN MENDES x ZEDD,
72,NEW,72,1,Tic Tac Toe                                                 MEEK MILL featuring KODAK BLACK,2018-12-15,72,72,1,Tic Tac Toe, MEEK MILL featuring KODAK BLACK,
73,NEW,73,1,Almost Slipped                                              MEEK MILL,2018-12-15,73,73,1,Almost Slipped,MEEK MILL,
74,57,28,6,Arms Around You                                             XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,2018-11-10,28,28,9,Arms Around You, XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,
75,54,16,4,Bad!                                                        XXXTENTACION,2018-11-24,16,16,7,Bad!,XXXTENTACION,
76,55,44,4,Armed And Dangerous                                         JUICE WRLD,2018-11-24,44,44,7,Armed And Dangerous, JUICE WRLD,
77,NEW,77,1,"Splash Warning                                              MEEK MILL featuring FUTURE, RODDY RICCH & YOUNG THUG",2018-12-15,77,77,1,Splash Warning,"MEEK MILL featuring FUTURE, RODDY RICCH & YOUNG THUG",
78,NEW,78,1,Pay You Back                                                MEEK MILL featuring 21 SAVAGE,2018-12-15,78,78,1,Pay You Back,MEEK MILL featuring 21 SAVAGE,
79,65,65,6,Be Alright                                                  DEAN LEWIS,2018-11-10,94,63,9,Be Alright,DEAN LEWIS,
80,67,56,19,That's On Me                                                YELLA BEEZY,2018-08-11,92,56,20,That's On Me,YELLA BEEZY,
81,NEW,81,1,Foot Fungus                                                 SKI MASK THE SLUMP GOD,2018-12-15,81,81,1,Foot Fungus, SKI MASK THE SLUMP GOD,
82,NEW,82,1,Crush A Lot                                                 LIL BABY,2018-12-15,82,82,1,Crush A Lot, LIL BABY,
83,75,72,6,TAlk tO Me                                                  TORY LANEZ & RICH THE KID,2018-11-10,76,61,9,TAlk tO Me,TORY LANEZ & RICH THE KID,
84,63,28,9,Close Friends                                               LIL BABY,2018-10-20,28,28,11,Close Friends, LIL BABY,
85,NEW,85,1,Oodles O'Noodles Babies                                     MEEK MILL,2018-12-15,85,85,1,Oodles O'Noodles Babies, MEEK MILL,
86,76,65,7,Backin' It Up                                               PARDISON FONTAINE faeturing CARDI B,2018-11-03,95,64,10,Backin' It Up, PARDISON FONTAINE faeturing CARDI B,
87,82,73,6,This Feeliing                                               THE CHAINSMOKERS featuring KELSEA BALLERINI,2018-11-10,98,66,9,This Feeliing, THE CHAINSMOKERS featuring KELSEA BALLERINI,
88,64,26,7,Fine China                                                  FUTURE & JUICE WRLD,2018-11-03,26,26,10,Fine China,FUTURE & JUICE WRLD,
89,61,25,9,Stoopid                                                     6IX9INE featuring BOBBY SHMURDA,2018-10-20,25,25,9,Stoopid, 6IX9INE featuring BOBBY SHMURDA,
90,74,69,7,Burning Man                                                 DIERKS BENTLEY featuring BROTHERS OSBORNE,2018-11-03,100,65,10,Burning Man, DIERKS BENTLEY featuring BROTHERS OSBORNE,
91,NEW,91,1,Global                                                      LIL BABY,2018-12-15,91,91,1,Global,LIL BABY,
92,68,56,15,Smile (Living My Best Life)                                 LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,2018-09-08,83,56,17,Smile (Living My Best Life), LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,
93,100,93,3,Close To Me                                                 ELLIE GOULDING x DIPLO featuring SWAE LEE,2018-12-01,98,57,6,Close To Me, ELLIE GOULDING x DIPLO featuring SWAE LEE,
94,77,77,5,Consequences                                                CAMILA CABELLO,2018-11-17,97,69,8,Consequences,CAMILA CABELLO,
95,73,47,11,No Stylist                                                  FRENCH MONTANA featuring DRAKE,2018-10-06,47,47,14,No Stylist,FRENCH MONTANA featuring DRAKE,
96,81,81,4,Good Girl                                                   DUSTIN LYNCH,2018-11-24,93,72,7,Good Girl, DUSTIN LYNCH,
97,84,79,5,Ella Quiere Beber                                           ANUEL AA & ROMEO SANTOS,2018-11-17,86,79,8,Ella Quiere Beber, ANUEL AA & ROMEO SANTOS,
98,NEW,98,1,Word On The Street                                          LIL BABY,2018-12-15,98,98,1,Word On The Street,LIL BABY,
99,88,87,4,Sixteen                                                     THOMAS RHETT,2018-11-24,91,67,7,Sixteen, THOMAS RHETT,
100,90,90,2,You                                                         JACQUEES,2018-12-08,90,75,5,You, JACQUEES,
1,2,1,17,Sicko Mode                                                  TRAVIS SCOTT,2018-08-18,4,1,21,Sicko Mode,TRAVIS SCOTT,
2,1,1,4,"Thank U, Next                                               ARIANA GRANDE",2018-11-17,1,1,8,"Thank U, Next", ARIANA GRANDE,
3,3,3,15,Happier                                                     MARSHMELLO & BASTILLE,2018-09-01,63,3,19,Happier, MARSHMELLO & BASTILLE,
4,4,4,8,Without Me                                                  HALSEY,2018-10-20,18,2,12,Without Me,HALSEY,
5,6,5,15,High Hopes                                                  PANIC! AT THE DISCO,2018-09-01,90,5,19,High Hopes,PANIC! AT THE DISCO,
6,7,6,14,Mo Bamba                                                    SHECK WES,2018-09-08,82,6,18,Mo Bamba,SHECK WES,
7,10,2,7,Zeze                                                        KODAK BLACK featuring TRAVIS SCOTT & OFFSET,2018-10-27,2,2,11,Zeze,KODAK BLACK featuring TRAVIS SCOTT & OFFSET,
8,9,4,11,Drip Too Hard                                               LIL BABY & GUNNA,2018-09-29,28,4,15,Drip Too Hard, LIL BABY & GUNNA,
9,8,1,27,Girls Like You                                              MAROON 5 featuring CARDI B,2018-06-09,94,1,31,Girls Like You,MAROON 5 featuring CARDI B,
10,5,2,29,Lucid Dreams                                                JUICE WRLD,2018-05-26,74,2,33,Lucid Dreams,JUICE WRLD,
11,11,3,31,Better Now                                                  POST MALONE,2018-05-12,7,3,35,Better Now,POST MALONE,
12,12,7,26,Youngblood                                                  5 SECONDS OF SUMMER,2018-06-16,96,7,30,Youngblood,5 SECONDS OF SUMMER,
13,13,13,15,Breathin'                                                   ARIANA GRANDE,2018-09-01,22,12,19,Breathin', ARIANA GRANDE,
14,29,14,2,All I Want For Christmas Is You                             MARIAH CAREY,2018-12-01,29,3,6,All I Want For Christmas Is You, MARIAH CAREY,
15,14,14,11,Wake Up In The Sky                                          GUCCI MANE & BRUNO MARS & KODAK BLACK,2018-09-29,30,11,15,Wake Up In The Sky,GUCCI MANE & BRUNO MARS & KODAK BLACK,
16,15,11,17,Trip                                                        ELLA MAI,2018-08-18,79,11,21,Trip,ELLA MAI,
17,16,9,6,Sunflower (Spider-Man: Into The Spider-Verse)               POST MALONE & SWAE LEE,2018-11-03,9,4,10,Sunflower (Spider-Man: Into The Spider-Verse), POST MALONE & SWAE LEE,
18,17,17,20,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",2018-07-28,56,16,24,Eastside,"BENNY BLANCO, HALSEY & KHALID",
19,18,5,7,MIA                                                         BAD BUNNY featuring DRAKE,2018-10-27,5,5,11,MIA, BAD BUNNY featuring DRAKE,
20,19,9,41,Love Lies                                                   KHALID & NORMANI,2018-03-03,43,9,45,Love Lies, KHALID & NORMANI,
21,NEW,21,1,It's The Most Wonderful Time Of The Year                    ANDY WILLIAMS,2018-12-08,21,10,5,It's The Most Wonderful Time Of The Year,ANDY WILLIAMS,
22,22,11,9,"Taki Taki                                                   DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",2018-10-13,27,11,13,Taki Taki," DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",
23,NEW,23,1,Rockin' Around The Christmas Tree                           BRENDA LEE,2018-12-08,23,9,5,Rockin' Around The Christmas Tree, BRENDA LEE,
24,21,13,6,Money                                                       CARDI B,2018-11-03,54,13,10,Money, CARDI B,
25,20,13,19,Natural                                                     IMAGINE DRAGONS,2018-08-04,37,13,23,Natural, IMAGINE DRAGONS,
26,NEW,26,1,A Holly Jolly Christmas                                     BURL IVES,2018-12-08,26,10,5,A Holly Jolly Christmas, BURL IVES,
27,28,27,11,Leave Me Alone                                              FLIPP DINERO,2018-09-29,96,27,15,Leave Me Alone,FLIPP DINERO,
28,23,5,9,Shallow                                                     LADY GAGA & BRADLEY COOPER,2018-10-13,28,5,13,Shallow, LADY GAGA & BRADLEY COOPER,
29,43,29,11,Better                                                      KHALID,2018-09-29,45,29,15,Better,KHALID,
30,30,30,17,Beautiful                                                   BAZZI featuring CAMILA CABELLO,2018-08-18,60,30,21,Beautiful, BAZZI featuring CAMILA CABELLO,
31,24,1,34,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",2018-04-21,8,1,38,I Like It," CARDI B, BAD BUNNY & J BALVIN",
32,35,29,20,Broken                                                      LOVELYTHEBAND,2018-07-28,84,29,22,Broken,LOVELYTHEBAND,
33,NEW,33,1,Jingle Bell Rock                                            BOBBY HELMS,2018-12-08,33,8,5,Jingle Bell Rock,BOBBY HELMS,
34,26,8,20,God Is A Woman                                              ARIANA GRANDE,2018-07-28,11,8,22,God Is A Woman,ARIANA GRANDE,
35,27,8,27,Taste                                                       TYGA featuring OFFSET,2018-06-09,82,8,29,Taste, TYGA featuring OFFSET,
36,38,3,19,FeFe                                                        6IX9INE featuring NICKI MINAJ & MURDA BEATZ,2018-08-04,4,3,20,FeFe,6IX9INE featuring NICKI MINAJ & MURDA BEATZ,
37,25,1,22,In My Feelings                                              DRAKE,2018-07-14,6,1,22,In My Feelings,DRAKE,
38,33,33,12,Speechless                                                  DAN + SHAY,2018-09-22,95,33,16,Speechless,DAN + SHAY,
39,NEW,39,1,The Christmas Song (Merry Christmas To You)                 NAT KING COLE,2018-12-08,39,11,5,The Christmas Song (Merry Christmas To You), NAT KING COLE,
40,37,7,9,Uproar                                                      LIL WAYNE,2018-10-13,7,7,13,Uproar,LIL WAYNE,
41,40,28,19,Lose It                                                     KANE BROWN,2018-08-04,98,28,19,Lose It, KANE BROWN,
42,34,34,16,She Got The Best Of Me                                      LUKE COMBS,2018-08-25,95,34,20,She Got The Best Of Me,LUKE COMBS,
43,NEW,43,1,Last Christmas                                              WHAM!,2018-12-08,43,25,5,Last Christmas,WHAM!,
44,31,6,29,Yes Indeed                                                  LIL BABY & DRAKE,2018-05-26,49,6,29,Yes Indeed,LIL BABY & DRAKE,
45,36,21,37,Tequila                                                     DAN + SHAY,2018-03-31,87,21,37,Tequila, DAN + SHAY,
46,32,2,22,Nonstop                                                     DRAKE,2018-07-14,2,2,22,Nonstop, DRAKE,
47,41,36,15,Ring                                                        CARDI B featuring KEHLANI,2018-09-01,85,36,16,Ring,CARDI B featuring KEHLANI,
48,51,48,14,Dangerous                                                   MEEK MILL featuring JEREMIH & PNB ROCK,2018-09-08,88,31,18,Dangerous, MEEK MILL featuring JEREMIH & PNB ROCK,
49,47,46,11,Best Shot                                                   JIMMIE ALLEN,2018-09-29,97,46,15,Best Shot, JIMMIE ALLEN,
50,42,5,35,Boo'd Up                                                    ELLA MAI,2018-04-14,78,5,35,Boo'd Up,ELLA MAI,
51,48,48,16,Lie                                                         NF,2018-08-25,96,48,18,Lie, NF,
52,52,52,6,When The Party's Over                                       BILLIE EILISH,2018-11-03,65,52,10,When The Party's Over, BILLIE EILISH,
53,55,53,15,Drunk Me                                                    MITCHELL TENPENNY,2018-09-01,83,53,19,Drunk Me,MITCHELL TENPENNY,
54,39,16,3,Bad!                                                        XXXTENTACION,2018-11-24,16,16,7,Bad!,XXXTENTACION,
55,53,44,3,Armed And Dangerous                                         JUICE WRLD,2018-11-24,44,44,7,Armed And Dangerous, JUICE WRLD,
56,54,48,9,Lost In Japan                                               SHAWN MENDES x ZEDD,2018-10-13,99,48,13,Lost In Japan, SHAWN MENDES x ZEDD,
57,49,28,5,Arms Around You                                             XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,2018-11-10,28,28,9,Arms Around You, XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,
58,NEW,58,1,Mama                                                        6IX9INE featuring NICKI MINAJ & KANYE WEST,2018-12-08,58,43,4,Mama,6IX9INE featuring NICKI MINAJ & KANYE WEST,
59,NEW,59,1,Kika                                                        6IX9INE featuring TORY LANEZ,2018-12-08,59,44,4,Kika,6IX9INE featuring TORY LANEZ,
60,58,44,20,You Say                                                     LAUREN DAIGLE,2018-07-28,53,44,24,You Say, LAUREN DAIGLE,
61,85,25,8,Stoopid                                                     6IX9INE featuring BOBBY SHMURDA,2018-10-20,25,25,9,Stoopid, 6IX9INE featuring BOBBY SHMURDA,
62,NEW,62,1,Tic Toc                                                     6IX9INE featuring LIL BABY,2018-12-08,62,53,3,Tic Toc, 6IX9INE featuring LIL BABY,
63,57,28,8,Close Friends                                               LIL BABY,2018-10-20,28,28,11,Close Friends, LIL BABY,
64,64,26,6,Fine China                                                  FUTURE & JUICE WRLD,2018-11-03,26,26,10,Fine China,FUTURE & JUICE WRLD,
65,76,65,5,Be Alright                                                  DEAN LEWIS,2018-11-10,94,63,9,Be Alright,DEAN LEWIS,
66,61,52,5,Topanga                                                     TRIPPIE REDD,2018-11-10,80,52,5,Topanga, TRIPPIE REDD,
67,56,56,18,That's On Me                                                YELLA BEEZY,2018-08-11,92,56,20,That's On Me,YELLA BEEZY,
68,60,56,14,Smile (Living My Best Life)                                 LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,2018-09-08,83,56,17,Smile (Living My Best Life), LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,
69,NEW,69,1,Come Out And Play                                           BILLIE EILISH,2018-12-08,69,69,1,Come Out And Play, BILLIE EILISH,
70,63,42,4,10 Freaky Girls                                             METRO BOOMIN fraturing 21 SAVAGE,2018-11-17,42,42,4,10 Freaky Girls, METRO BOOMIN fraturing 21 SAVAGE,
71,NEW,71,1,Waka                                                        6IX9INE featuring A BOOGIE WIT DA HOODIE,2018-12-08,71,51,3,Waka,6IX9INE featuring A BOOGIE WIT DA HOODIE,
72,68,55,3,1400/999 Freestyle                                          TRIPPIE REDD featuring JUICE WRLD,2018-11-24,55,55,3,1400/999 Freestyle,TRIPPIE REDD featuring JUICE WRLD,
73,66,47,10,No Stylist                                                  FRENCH MONTANA featuring DRAKE,2018-10-06,47,47,14,No Stylist,FRENCH MONTANA featuring DRAKE,
74,69,69,6,Burning Man                                                 DIERKS BENTLEY featuring BROTHERS OSBORNE,2018-11-03,100,65,10,Burning Man, DIERKS BENTLEY featuring BROTHERS OSBORNE,
75,72,72,5,TAlk tO Me                                                  TORY LANEZ & RICH THE KID,2018-11-10,76,61,9,TAlk tO Me,TORY LANEZ & RICH THE KID,
76,65,65,6,Backin' It Up                                               PARDISON FONTAINE faeturing CARDI B,2018-11-03,95,64,10,Backin' It Up, PARDISON FONTAINE faeturing CARDI B,
77,82,77,4,Consequences                                                CAMILA CABELLO,2018-11-17,97,69,8,Consequences,CAMILA CABELLO,
78,59,35,20,I'm A Mess                                                  BEBE REXHA,2018-07-28,92,35,20,I'm A Mess,BEBE REXHA,
79,67,63,13,Hangin' On                                                  CHRIS YOUNG,2018-09-15,97,63,13,Hangin' On,CHRIS YOUNG,
80,71,63,5,Dip                                                         TYGA featuring NICKI MINAJ,2018-11-10,83,63,5,Dip, TYGA featuring NICKI MINAJ,
81,88,81,3,Good Girl                                                   DUSTIN LYNCH,2018-11-24,93,72,7,Good Girl, DUSTIN LYNCH,
82,73,73,5,This Feeliing                                               THE CHAINSMOKERS featuring KELSEA BALLERINI,2018-11-10,98,66,9,This Feeliing, THE CHAINSMOKERS featuring KELSEA BALLERINI,
83,80,80,2,Lovely                                                      BILLIE EILISH & KHALID,2018-12-01,80,80,2,Lovely,BILLIE EILISH & KHALID,
84,79,79,4,Ella Quiere Beber                                           ANUEL AA & ROMEO SANTOS,2018-11-17,86,79,8,Ella Quiere Beber, ANUEL AA & ROMEO SANTOS,
85,70,15,8,Never Recover                                               LIL BABY & GUNNA featuring DRAKE,2018-10-20,15,15,8,Never Recover, LIL BABY & GUNNA featuring DRAKE,
86,NEW,86,1,Bebe                                                        6IX9INE featuring ANUEL AA,2018-12-08,86,86,1,Bebe,6IX9INE featuring ANUEL AA,
87,62,62,7,Rich                                                        MAREN MORRIS,2018-10-27,85,62,7,Rich,MAREN MORRIS,
88,87,87,3,Sixteen                                                     THOMAS RHETT,2018-11-24,91,67,7,Sixteen, THOMAS RHETT,
89,77,52,15,Blue Tacoma                                                 RUSSELL DICKERSON,2018-09-01,77,52,15,Blue Tacoma, RUSSELL DICKERSON,
90,NEW,90,1,You                                                         JACQUEES,2018-12-08,90,75,5,You, JACQUEES,
91,74,51,4,Space Cadet                                                 METRO BOOMIN featuring GUNNA,2018-11-17,51,51,4,Space Cadet, METRO BOOMIN featuring GUNNA,
92,90,90,3,Last Shot                                                   KIP MOORE,2018-11-24,95,90,3,Last Shot, KIP MOORE,
93,83,75,19,Best Part                                                   DANIEL CAESAR featuring H.E.R.,2018-08-04,81,75,19,Best Part, DANIEL CAESAR featuring H.E.R.,
94,99,94,2,Girl Like You                                               JASON ALDEAN,2018-12-01,99,94,2,Girl Like You, JASON ALDEAN,
95,78,38,4,Don't Come Out The House                                    METRO BOOMIN fraturing 21 SAVAGE,2018-11-17,38,38,4,Don't Come Out The House,METRO BOOMIN fraturing 21 SAVAGE,
96,97,96,2,Ocean Eyes                                                  BILLIE EILISH,2018-12-01,97,96,2,Ocean Eyes,BILLIE EILISH,
97,75,6,12,I Love It                                                   KANYE WEST & LIL PUMP,2018-09-22,6,6,12,I Love It, KANYE WEST & LIL PUMP,
98,84,13,11,Falling Down                                                LIL PEEP & XXXTENTACION,2018-09-29,47,13,11,Falling Down,LIL PEEP & XXXTENTACION,
99,93,80,8,Noticed                                                     LIL MOSEY,2018-10-20,100,80,8,Noticed, LIL MOSEY,
100,98,98,2,Close To Me                                                 ELLIE GOULDING x DIPLO featuring SWAE LEE,2018-12-01,98,57,6,Close To Me, ELLIE GOULDING x DIPLO featuring SWAE LEE,
1,1,1,3,"Thank U, Next                                               ARIANA GRANDE",2018-11-17,1,1,8,"Thank U, Next", ARIANA GRANDE,
2,2,2,16,Sicko Mode                                                  TRAVIS SCOTT,2018-08-18,4,1,21,Sicko Mode,TRAVIS SCOTT,
3,3,3,14,Happier                                                     MARSHMELLO & BASTILLE,2018-09-01,63,3,19,Happier, MARSHMELLO & BASTILLE,
4,4,4,7,Without Me                                                  HALSEY,2018-10-20,18,2,12,Without Me,HALSEY,
5,6,2,28,Lucid Dreams                                                JUICE WRLD,2018-05-26,74,2,33,Lucid Dreams,JUICE WRLD,
6,8,6,14,High Hopes                                                  PANIC! AT THE DISCO,2018-09-01,90,5,19,High Hopes,PANIC! AT THE DISCO,
7,7,7,13,Mo Bamba                                                    SHECK WES,2018-09-08,82,6,18,Mo Bamba,SHECK WES,
8,5,1,26,Girls Like You                                              MAROON 5 featuring CARDI B,2018-06-09,94,1,31,Girls Like You,MAROON 5 featuring CARDI B,
9,10,4,10,Drip Too Hard                                               LIL BABY & GUNNA,2018-09-29,28,4,15,Drip Too Hard, LIL BABY & GUNNA,
10,9,2,6,Zeze                                                        KODAK BLACK featuring TRAVIS SCOTT & OFFSET,2018-10-27,2,2,11,Zeze,KODAK BLACK featuring TRAVIS SCOTT & OFFSET,
11,11,3,30,Better Now                                                  POST MALONE,2018-05-12,7,3,35,Better Now,POST MALONE,
12,12,7,25,Youngblood                                                  5 SECONDS OF SUMMER,2018-06-16,96,7,30,Youngblood,5 SECONDS OF SUMMER,
13,14,13,14,Breathin'                                                   ARIANA GRANDE,2018-09-01,22,12,19,Breathin', ARIANA GRANDE,
14,17,14,10,Wake Up In The Sky                                          GUCCI MANE & BRUNO MARS & KODAK BLACK,2018-09-29,30,11,15,Wake Up In The Sky,GUCCI MANE & BRUNO MARS & KODAK BLACK,
15,18,11,16,Trip                                                        ELLA MAI,2018-08-18,79,11,21,Trip,ELLA MAI,
16,22,9,5,Sunflower (Spider-Man: Into The Spider-Verse)               POST MALONE & SWAE LEE,2018-11-03,9,4,10,Sunflower (Spider-Man: Into The Spider-Verse), POST MALONE & SWAE LEE,
17,21,17,19,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",2018-07-28,56,16,24,Eastside,"BENNY BLANCO, HALSEY & KHALID",
18,19,5,6,MIA                                                         BAD BUNNY featuring DRAKE,2018-10-27,5,5,11,MIA, BAD BUNNY featuring DRAKE,
19,20,9,40,Love Lies                                                   KHALID & NORMANI,2018-03-03,43,9,45,Love Lies, KHALID & NORMANI,
20,13,13,18,Natural                                                     IMAGINE DRAGONS,2018-08-04,37,13,23,Natural, IMAGINE DRAGONS,
21,25,13,5,Money                                                       CARDI B,2018-11-03,54,13,10,Money, CARDI B,
22,15,11,8,"Taki Taki                                                   DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",2018-10-13,27,11,13,Taki Taki," DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",
23,24,5,8,Shallow                                                     LADY GAGA & BRADLEY COOPER,2018-10-13,28,5,13,Shallow, LADY GAGA & BRADLEY COOPER,
24,26,1,33,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",2018-04-21,8,1,38,I Like It," CARDI B, BAD BUNNY & J BALVIN",
25,29,1,21,In My Feelings                                              DRAKE,2018-07-14,6,1,22,In My Feelings,DRAKE,
26,23,8,19,God Is A Woman                                              ARIANA GRANDE,2018-07-28,11,8,22,God Is A Woman,ARIANA GRANDE,
27,27,8,26,Taste                                                       TYGA featuring OFFSET,2018-06-09,82,8,29,Taste, TYGA featuring OFFSET,
28,37,28,10,Leave Me Alone                                              FLIPP DINERO,2018-09-29,96,27,15,Leave Me Alone,FLIPP DINERO,
29,NEW,29,1,All I Want For Christmas Is You                             MARIAH CAREY,2018-12-01,29,3,6,All I Want For Christmas Is You, MARIAH CAREY,
30,32,30,16,Beautiful                                                   BAZZI featuring CAMILA CABELLO,2018-08-18,60,30,21,Beautiful, BAZZI featuring CAMILA CABELLO,
31,30,6,28,Yes Indeed                                                  LIL BABY & DRAKE,2018-05-26,49,6,29,Yes Indeed,LIL BABY & DRAKE,
32,33,2,21,Nonstop                                                     DRAKE,2018-07-14,2,2,22,Nonstop, DRAKE,
33,38,33,11,Speechless                                                  DAN + SHAY,2018-09-22,95,33,16,Speechless,DAN + SHAY,
34,35,34,15,She Got The Best Of Me                                      LUKE COMBS,2018-08-25,95,34,20,She Got The Best Of Me,LUKE COMBS,
35,31,29,19,Broken                                                      LOVELYTHEBAND,2018-07-28,84,29,22,Broken,LOVELYTHEBAND,
36,36,21,36,Tequila                                                     DAN + SHAY,2018-03-31,87,21,37,Tequila, DAN + SHAY,
37,34,7,8,Uproar                                                      LIL WAYNE,2018-10-13,7,7,13,Uproar,LIL WAYNE,
38,42,3,18,FeFe                                                        6IX9INE featuring NICKI MINAJ & MURDA BEATZ,2018-08-04,4,3,20,FeFe,6IX9INE featuring NICKI MINAJ & MURDA BEATZ,
39,16,16,2,Bad!                                                        XXXTENTACION,2018-11-24,16,16,7,Bad!,XXXTENTACION,
40,28,28,18,Lose It                                                     KANE BROWN,2018-08-04,98,28,19,Lose It, KANE BROWN,
41,39,36,14,Ring                                                        CARDI B featuring KEHLANI,2018-09-01,85,36,16,Ring,CARDI B featuring KEHLANI,
42,43,5,34,Boo'd Up                                                    ELLA MAI,2018-04-14,78,5,35,Boo'd Up,ELLA MAI,
43,51,34,10,Better                                                      KHALID,2018-09-29,45,29,15,Better,KHALID,
44,41,27,41,I Like Me Better                                            LAUV,2018-02-24,96,27,41,I Like Me Better,LAUV,
45,48,1,39,Psycho                                                      POST MALONE featuring TY DOLLA $IGN,2018-03-10,2,1,39,Psycho,POST MALONE featuring TY DOLLA $IGN,
46,45,1,38,Sad!                                                        XXXTENTACION,2018-03-17,17,1,38,Sad!,XXXTENTACION,
47,46,46,10,Best Shot                                                   JIMMIE ALLEN,2018-09-29,97,46,15,Best Shot, JIMMIE ALLEN,
48,50,48,15,Lie                                                         NF,2018-08-25,96,48,18,Lie, NF,
49,60,28,4,Arms Around You                                             XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,2018-11-10,28,28,9,Arms Around You, XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,
50,40,33,3,Bohemian Rhapsody                                           QUEEN,2018-11-17,33,33,3,Bohemian Rhapsody, QUEEN,
51,57,51,13,Dangerous                                                   MEEK MILL featuring JEREMIH & PNB ROCK,2018-09-08,88,31,18,Dangerous, MEEK MILL featuring JEREMIH & PNB ROCK,
52,59,52,5,When The Party's Over                                       BILLIE EILISH,2018-11-03,65,52,10,When The Party's Over, BILLIE EILISH,
53,44,44,2,Armed And Dangerous                                         JUICE WRLD,2018-11-24,44,44,7,Armed And Dangerous, JUICE WRLD,
54,53,48,8,Lost In Japan                                               SHAWN MENDES x ZEDD,2018-10-13,99,48,13,Lost In Japan, SHAWN MENDES x ZEDD,
55,54,54,14,Drunk Me                                                    MITCHELL TENPENNY,2018-09-01,83,53,19,Drunk Me,MITCHELL TENPENNY,
56,61,56,17,That's On Me                                                YELLA BEEZY,2018-08-11,92,56,20,That's On Me,YELLA BEEZY,
57,58,28,7,Close Friends                                               LIL BABY,2018-10-20,28,28,11,Close Friends, LIL BABY,
58,64,44,19,You Say                                                     LAUREN DAIGLE,2018-07-28,53,44,24,You Say, LAUREN DAIGLE,
59,47,35,19,I'm A Mess                                                  BEBE REXHA,2018-07-28,92,35,20,I'm A Mess,BEBE REXHA,
60,62,56,13,Smile (Living My Best Life)                                 LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,2018-09-08,83,56,17,Smile (Living My Best Life), LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,
61,52,52,4,Topanga                                                     TRIPPIE REDD,2018-11-10,80,52,5,Topanga, TRIPPIE REDD,
62,68,62,6,Rich                                                        MAREN MORRIS,2018-10-27,85,62,7,Rich,MAREN MORRIS,
63,56,42,3,10 Freaky Girls                                             METRO BOOMIN fraturing 21 SAVAGE,2018-11-17,42,42,4,10 Freaky Girls, METRO BOOMIN fraturing 21 SAVAGE,
64,65,26,5,Fine China                                                  FUTURE & JUICE WRLD,2018-11-03,26,26,10,Fine China,FUTURE & JUICE WRLD,
65,74,65,5,Backin' It Up                                               PARDISON FONTAINE faeturing CARDI B,2018-11-03,95,64,10,Backin' It Up, PARDISON FONTAINE faeturing CARDI B,
66,69,47,9,No Stylist                                                  FRENCH MONTANA featuring DRAKE,2018-10-06,47,47,14,No Stylist,FRENCH MONTANA featuring DRAKE,
67,67,63,12,Hangin' On                                                  CHRIS YOUNG,2018-09-15,97,63,13,Hangin' On,CHRIS YOUNG,
68,55,55,2,1400/999 Freestyle                                          TRIPPIE REDD featuring JUICE WRLD,2018-11-24,55,55,3,1400/999 Freestyle,TRIPPIE REDD featuring JUICE WRLD,
69,75,69,5,Burning Man                                                 DIERKS BENTLEY featuring BROTHERS OSBORNE,2018-11-03,100,65,10,Burning Man, DIERKS BENTLEY featuring BROTHERS OSBORNE,
70,70,15,7,Never Recover                                               LIL BABY & GUNNA featuring DRAKE,2018-10-20,15,15,8,Never Recover, LIL BABY & GUNNA featuring DRAKE,
71,78,63,4,Dip                                                         TYGA featuring NICKI MINAJ,2018-11-10,83,63,5,Dip, TYGA featuring NICKI MINAJ,
72,80,72,4,TAlk tO Me                                                  TORY LANEZ & RICH THE KID,2018-11-10,76,61,9,TAlk tO Me,TORY LANEZ & RICH THE KID,
73,77,73,4,This Feeliing                                               THE CHAINSMOKERS featuring KELSEA BALLERINI,2018-11-10,98,66,9,This Feeliing, THE CHAINSMOKERS featuring KELSEA BALLERINI,
