currentWeekPosition,previousWeekPosition,peakPosition,Total Weeks,titleArtist,entryDate,entryPosition,,,Song Title,Artist,
50,60,50,2,Jumpsuit                                                    TWENTY ONE PILOTS,2018-07-21,60,50,3,Jumpsuit,TWENTY ONE PILOTS,
51,47,18,5,Changes                                                     XXXTENTACION,2018-06-30,18,18,11,Changes, XXXTENTACION,
52,48,43,5,Bed                                                         NICKI MINAJ featuring ARIANA GRANDE,2018-06-30,43,42,10,Bed, NICKI MINAJ featuring ARIANA GRANDE,
53,NEW,53,1,You Say                                                     LAUREN DAIGLE,2018-07-28,53,44,24,You Say, LAUREN DAIGLE,
54,61,54,4,Life Changes                                                THOMAS RHETT,2018-07-07,92,36,14,Life Changes,THOMAS RHETT,
55,57,41,10,All Girls Are The Same                                      JUICE WRLD,2018-05-26,92,41,20,All Girls Are The Same,JUICE WRLD,
56,NEW,56,1,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",2018-07-28,56,16,24,Eastside,"BENNY BLANCO, HALSEY & KHALID",
57,70,57,4,Take Back Home Girl                                         CHRIS LANE featuring TORI KELLY,2018-07-07,98,55,9,Take Back Home Girl, CHRIS LANE featuring TORI KELLY,
58,38,8,3,Emotionless                                                 DRAKE,2018-07-14,8,8,4,Emotionless, DRAKE,
59,54,49,17,Up Down                                                     MORGAN WALLEN featuring FLORIDA GEORGIA LINE,2018-04-07,86,49,20,Up Down, MORGAN WALLEN featuring FLORIDA GEORGIA LINE,
60,88,60,2,Jackie Chan                                                 TIESTO & DZEKO featuring PREME & POST MALONE,2018-07-21,88,52,19,Jackie Chan, TIESTO & DZEKO featuring PREME & POST MALONE,
61,45,18,3,Can't Take A Joke                                           DRAKE,2018-07-14,18,18,4,Can't Take A Joke, DRAKE,
62,77,62,4,Coming Home                                                 KEITH URBAN featuring JULIA MICHAELS,2018-07-07,88,50,7,Coming Home, KEITH URBAN featuring JULIA MICHAELS,
63,82,63,3,Don't Go Breaking My Heart                                  BACKSTREET BOYS,2018-07-14,84,63,9,Don't Go Breaking My Heart,BACKSTREET BOYS,
64,81,64,3,"Sunrise, Sunburn, Sunset                                    LUKE BRYAN",2018-07-14,86,35,16,"Sunrise, Sunburn, Sunset",LUKE BRYAN,
65,86,65,3,Growing Pains                                               ALESSIA CARA,2018-07-14,99,65,8,Growing Pains, ALESSIA CARA,
66,98,66,2,Solo                                                        CLEAN BANDIT featuring DEMI LOVATO,2018-07-21,98,58,12,Solo,CLEAN BANDIT featuring DEMI LOVATO,
67,44,14,3,Elevate                                                     DRAKE,2018-07-14,14,14,3,Elevate, DRAKE,
68,NEW,68,1,Wasted                                                      JUICE WRLD featuring LIL UZI VERT,2018-07-28,68,67,5,Wasted,JUICE WRLD featuring LIL UZI VERT,
69,72,8,18,Freaky Friday                                               LIL DICKY featuring CHRIS BROWN,2018-03-31,9,8,20,Freaky Friday, LIL DICKY featuring CHRIS BROWN,
70,87,70,3,Hotel Key                                                   OLD DOMINION,2018-07-14,93,48,19,Hotel Key, OLD DOMINION,
71,NEW,71,1,Desperate Man                                               ERIC CHURCH,2018-07-28,71,71,3,Desperate Man, ERIC CHURCH,
72,NEW,72,1,Hopelesss Romantic                                          WIZ KHALIFA featuring SWAE LEE,2018-07-28,72,72,2,Hopelesss Romantic,WIZ KHALIFA featuring SWAE LEE,
73,NEW,73,1,Fr Fr                                                       WIZ KHALIFA featuring LIL SKIES,2018-07-28,73,73,1,Fr Fr, WIZ KHALIFA featuring LIL SKIES,
